renda;amostra 1;amostra 2;amostra 3;amostra 4;amostra 5;amostra 6;amostra 7;amostra 8;amostra 9;amostra 10;amostra 11;amostra 12;amostra 13;amostra 14;amostra 15;amostra 16;amostra 17;amostra 18;amostra 19;amostra 20;amostra 21;amostra 22;amostra 23;amostra 24;amostra 25;amostra 26;amostra 27;amostra 28;amostra 29;amostra 30;amostra 31;amostra 32;amostra 33;amostra 34;amostra 35;amostra 36;amostra 37;amostra 38;amostra 39;amostra 40;amostra 41;amostra 42;amostra 43;amostra 44;amostra 45;amostra 46;amostra 47;amostra 48;amostra 49;amostra 50;amostra 51;amostra 52;amostra 53;amostra 54;amostra 55;amostra 56;amostra 57;amostra 58;amostra 59;amostra 60;amostra 61;amostra 62;amostra 63;amostra 64;amostra 65;amostra 66;amostra 67;amostra 68;amostra 69;amostra 70;amostra 71;amostra 72;amostra 73;amostra 74;amostra 75;amostra 76;amostra 77;amostra 78;amostra 79;amostra 80;amostra 81;amostra 82;amostra 83;amostra 84;amostra 85;amostra 86;amostra 87;amostra 88;amostra 89;amostra 90;amostra 91;amostra 92;amostra 93;amostra 94;amostra 95;amostra 96;amostra 97;amostra 98;amostra 99;amostra 100
1110;743.154789;744.6329362;740.4201417;803.7381386;774.7447155;770.9488544;722.1343339;742.4496301;805.4681547;806.3094191;806.2616956;751.1649215;763.9768597;760.8008895;772.7461436;858.3331941;806.5858381;809.9614812;741.9951266;801.3895556;750.4366069;841.5792642;777.1663524;798.6679563;756.6621266;753.6726603;793.5576496;785.9781815;778.0060119;750.6308054;766.6431843;815.0866192;763.2971895;823.765848;831.179814;757.7357365;757.0872957;766.9380921;829.0982409;796.504774;740.071635;825.5668811;829.6856579;789.1403574;751.0822721;773.9137094;810.88579;723.9773815;788.5986674;742.2332297;782.2903356;810.4630845;795.0832652;827.9442121;776.3258607;766.1396996;780.0298309;780.8945088;773.505278;801.1563418;792.3813051;788.7767983;769.3032203;794.2049067;788.8631013;777.1536869;732.9211094;760.8430457;779.129171;786.2572828;807.2505573;690.7942238;786.3540763;715.5949699;742.5298213;742.2289115;804.7393537;748.7312949;798.3341485;742.6599574;765.5138933;800.6508108;764.9484607;748.1136232;758.3910903;755.6472259;773.3710341;850.4463264;755.4360965;769.2163095;772.208614;763.0113428;746.2087182;751.6884056;755.4579501;834.1287834;760.8069594;822.5627817;815.5463494;734.8816367
1211;815.8679109;854.9289836;918.0023933;805.922936;880.4575817;813.9118827;836.8216263;876.0331682;867.5688456;854.4800714;834.8006938;839.4360818;815.5662016;852.8360618;849.4306055;874.6214548;866.371726;888.8991308;850.3035556;838.5026878;858.2041301;823.363167;802.3016085;851.8983378;825.9402142;881.207391;856.3664118;902.4289408;816.7219368;836.1185358;846.6606385;862.8514358;853.4787324;809.1918419;865.8274693;844.6036545;862.678553;885.5039625;818.6006745;819.4857878;786.9145619;873.7767942;856.0518297;904.9374678;877.3233043;866.0299692;841.7902735;825.1000074;866.1800793;834.7937827;887.2582335;856.5744587;866.2692635;872.4517;828.7063997;826.9161112;853.0398214;828.7054082;829.4622627;800.6961128;835.8078012;855.093241;866.9651493;854.4010222;866.4137944;886.9938087;843.9134565;921.0236211;905.091651;797.8112161;824.3615041;892.9761086;833.0581262;813.3988031;879.9341357;843.5198114;856.0785875;881.872478;822.6410769;836.4638862;883.6230709;853.4478718;784.1073532;800.0643131;869.9030041;816.7571379;794.7992486;867.3453099;799.379233;856.245559;868.3102669;873.3723325;836.073791;865.456319;822.2072762;878.1524795;848.3511301;829.7856626;856.7726113;872.9118542
1312;950.7010798;946.367898;924.6279627;931.9683352;886.1085519;951.6146213;914.2252464;962.0754557;914.3667288;971.5141531;878.026708;934.0745001;933.3020508;884.3161172;920.3487681;920.5875702;911.2703199;906.0794204;863.9722951;864.2185246;925.2489983;939.2618219;925.1204671;885.343995;876.0195543;919.9564242;898.0851288;946.5010388;909.3290617;903.7152948;892.2841212;917.2475893;888.7960732;886.8389539;909.4449693;853.0552293;924.4099071;890.0631104;979.5349351;915.9034593;933.200545;902.7351959;961.9644209;940.6843282;902.7721027;927.2428945;927.1530165;885.3142761;878.6658735;911.2603022;917.1697829;954.8416887;864.4115478;912.5970526;883.0114863;911.2292802;903.1706289;954.6487994;917.8217082;937.7265423;925.4950914;917.4920244;915.7414453;946.2388041;865.0684499;918.5358101;905.7830967;932.3391387;913.3272857;943.7370402;866.2504527;936.2569222;923.4371499;899.2362168;922.4853658;927.6983207;929.3118288;868.9510743;944.6329414;926.8300636;925.4996042;941.6000704;910.2159598;944.5565963;893.3751457;882.8637516;921.6482246;925.3854372;951.3168514;958.8138731;914.8940172;913.7594104;891.3453823;880.7780475;956.9114408;892.4687248;899.600462;987.687517;880.1259347;873.983234
1413;1012.008235;994.3446926;988.6154277;985.1943184;1013.807866;951.4723791;917.8411669;963.6375022;1032.821232;974.6850744;978.0140714;1007.888828;1013.697388;987.5472492;983.8513022;1010.159021;985.2865144;953.481369;986.0100953;990.2606334;1012.488703;990.2360907;1033.333646;1002.01296;1007.920592;968.9342907;1048.492463;971.0956134;1013.082574;981.0029258;975.3631454;1026.383973;1016.728222;973.059298;984.1334816;1013.701904;1019.707637;967.4720738;1019.031859;987.1619134;1029.992384;967.9574433;1022.715385;1030.090543;984.0426652;971.1850181;959.7159379;988.9413763;1000.684653;935.165104;980.7218798;976.0053792;968.1712578;994.1145181;972.8329252;987.0447187;1043.318471;955.3030784;958.8080097;958.842121;922.5011664;964.9544015;980.923502;993.6198017;1035.782198;1038.949904;927.460743;1033.018912;959.3748007;975.2935303;917.8891462;1017.797496;957.7549667;976.2538891;963.5769343;1008.886511;930.4703106;1006.802321;992.6167611;965.5323684;1025.780318;1004.139331;923.4445177;1033.599552;956.474738;1005.294589;1028.9999;993.5363567;977.9458935;984.8181015;995.3690312;1015.706533;952.2090268;1021.111086;998.9936167;1049.136014;1012.165953;982.7393854;951.2297314;975.4371569
1514;1025.594593;1026.433608;1060.905539;1077.099103;1077.176255;1048.65858;1036.67865;1012.442262;1036.792541;1085.861688;1061.59952;1110.38844;1044.45397;1077.786822;1000.933112;1060.713242;1051.790444;1038.80306;1116.74366;1063.90303;1052.472181;1045.920413;1058.300033;1079.792769;1067.893724;1072.011564;1009.19549;997.647309;1065.842233;1086.605842;1046.034408;1129.444089;1047.078159;1068.229071;1049.990556;1024.479811;1106.051906;1113.284697;1018.622391;1041.978608;1093.049055;1042.336679;1016.983253;1043.688003;1128.28643;1052.053787;1071.158969;1015.038116;996.7134854;1076.977055;1048.089635;1046.644377;1058.993433;1097.033473;1042.688891;1056.215948;1027.997324;1097.698867;1068.110163;1055.345703;1050.084572;1056.446263;1045.695864;1039.003698;1056.049797;1064.038391;1090.376261;1056.553807;979.2380608;1043.338933;1069.210713;1047.207001;1101.73167;1047.412863;1096.655291;1066.356587;1087.27887;1079.599542;1051.910757;1080.690951;1036.941966;1046.20287;1091.699057;992.8954126;1067.669825;1028.266918;1032.337172;1053.109368;1049.189417;1031.143744;1046.067761;1054.40631;1069.557849;1097.550026;1003.98568;1086.192215;1033.387414;1089.601882;1010.9521;1003.830993
1615;1187.785766;1102.991593;1165.915219;1141.450373;1113.93672;1140.890293;1123.382091;1128.900733;1144.728414;1152.383941;1102.560402;1179.820966;1150.600542;1108.104824;1141.765819;1117.736306;1154.495055;1089.040956;1117.376462;1132.863935;1134.234856;1148.170098;1126.039904;1133.465142;1118.792518;1137.234464;1164.326878;1135.3946;1073.546409;1124.589002;1159.88764;1095.490062;1123.482184;1065.248079;1155.226447;1131.068645;1181.548686;1157.95675;1119.542624;1083.415376;1137.402339;1092.040379;1064.182599;1145.831036;1128.209358;1126.635767;1101.568584;1118.780066;1165.345139;1162.96582;1121.586169;1178.907053;1100.267073;1122.625195;1123.080709;1135.351073;1131.746967;1072.2078;1126.992224;1141.633633;1100.538181;1115.716345;1117.637919;1108.24512;1220.979088;1125.777356;1133.681721;1156.43629;1133.269804;1177.887939;1122.670402;1125.876815;1110.036768;1115.719639;1111.072456;1057.855609;1143.292223;1058.37517;1183.823174;1173.47324;1166.668222;1074.372301;1127.773069;1114.833939;1178.041338;1225.369217;1143.216234;1170.205006;1116.870412;1118.436551;1168.882684;1077.241676;1061.915173;1126.073987;1127.816728;1186.642314;1165.346405;1107.876118;1160.980588;1086.973213
1716;1183.107473;1133.85926;1190.310556;1211.414633;1216.674763;1223.392524;1193.174927;1150.474068;1156.398145;1172.516216;1175.797735;1217.916829;1215.071418;1190.656934;1226.157679;1181.232152;1181.797149;1238.39613;1186.039954;1192.078409;1193.138385;1213.124481;1193.361943;1204.89951;1160.427589;1207.956809;1206.52703;1181.004598;1195.474076;1221.605177;1158.576609;1240.077822;1171.457239;1228.416349;1152.199598;1225.213877;1201.505792;1175.655876;1191.451574;1190.215083;1202.974765;1189.067877;1137.829277;1184.483904;1216.031188;1188.389896;1192.379669;1240.93561;1134.959676;1194.291999;1193.851605;1183.402016;1167.687966;1249.301911;1186.527408;1198.523408;1206.051062;1198.360479;1193.832914;1203.244711;1176.133329;1198.206551;1161.126823;1245.677275;1206.342236;1187.614326;1169.04103;1217.59423;1208.733952;1173.029781;1197.625875;1196.571145;1167.150058;1187.009816;1191.732607;1220.358157;1229.09905;1211.42186;1125.482606;1174.518396;1141.124768;1215.905835;1197.343112;1208.687244;1197.092472;1237.581702;1207.096124;1197.500005;1187.018136;1174.310528;1197.480921;1197.326731;1227.677888;1201.282205;1215.285091;1201.534378;1184.565927;1255.99794;1204.395512;1230.691581
1817;1283.384622;1241.005732;1297.621464;1271.655251;1254.063366;1292.973213;1252.692668;1261.953747;1283.575594;1282.983519;1296.355783;1290.919605;1294.707603;1307.463498;1300.305561;1288.9063;1266.135718;1252.443045;1259.520084;1287.523281;1292.592667;1232.646405;1238.896528;1318.902466;1292.842367;1288.742681;1274.409275;1310.269411;1310.883115;1254.001823;1304.596574;1253.010849;1283.528693;1267.654795;1268.130923;1249.151603;1269.881764;1277.215136;1287.236758;1264.010282;1219.157001;1262.069068;1308.832562;1290.814551;1261.218154;1345.027228;1315.919799;1304.175498;1336.818607;1295.544048;1312.085575;1269.338887;1249.319774;1316.935035;1277.525474;1297.379043;1320.48547;1293.376297;1283.417942;1296.22763;1231.62199;1300.285342;1271.2363;1337.894222;1265.606853;1296.037591;1298.848574;1304.731804;1310.281907;1301.636127;1290.732214;1251.828867;1256.01702;1281.601213;1263.894149;1255.174536;1223.087624;1317.933672;1240.066441;1327.839253;1293.643441;1250.931199;1301.71445;1295.137577;1303.864224;1259.655801;1311.571989;1291.126011;1301.446078;1282.862899;1270.097563;1224.691153;1284.544755;1245.603062;1288.014868;1233.517088;1325.492886;1297.67741;1291.765558;1258.770666
1918;1387.91764;1330.153464;1350.937877;1303.250177;1344.688145;1344.64284;1354.5785;1310.162383;1330.710807;1353.484166;1354.776744;1360.215104;1341.746082;1325.34428;1325.202465;1344.143832;1314.310991;1330.152873;1321.123743;1323.223213;1312.780797;1355.673671;1309.255907;1319.999189;1372.045113;1360.673795;1320.459217;1346.470453;1368.559844;1406.242195;1388.571973;1382.64531;1363.549946;1393.990853;1322.947427;1337.61111;1317.329864;1344.689353;1325.986057;1368.127655;1294.253021;1324.037489;1359.35812;1313.886365;1316.824193;1322.516433;1378.972286;1315.936665;1399.422858;1325.658696;1369.237398;1300.662889;1360.563028;1385.608864;1347.723491;1351.269998;1350.428034;1298.649039;1312.009039;1327.757872;1318.044241;1365.905609;1339.84974;1307.036738;1335.246449;1347.357356;1347.439338;1336.483551;1268.167635;1380.249356;1374.290654;1341.593929;1329.035158;1340.737332;1338.887452;1344.591467;1347.105067;1373.895359;1362.66749;1386.046252;1330.462177;1300.641057;1298.861968;1337.075054;1319.811308;1343.500607;1322.566536;1311.043158;1395.883702;1348.346828;1321.322385;1360.825074;1325.985412;1326.803017;1376.418912;1316.162048;1338.961864;1310.731067;1312.63588;1310.903585
2019;1375.722508;1470.232394;1404.807007;1446.448616;1353.147333;1422.158523;1427.365271;1400.861417;1459.195524;1382.296359;1383.607822;1406.176138;1420.697882;1434.20109;1410.535481;1416.250621;1401.890247;1393.633767;1385.953926;1426.45737;1363.43413;1448.871118;1444.662356;1469.39;1446.27139;1379.989562;1347.2534;1415.730944;1432.333665;1401.305465;1433.396004;1441.482349;1418.487097;1433.533172;1413.628146;1390.661839;1364.68634;1431.349626;1380.086959;1385.289758;1338.753916;1429.4886;1420.042541;1418.563063;1419.043121;1421.335491;1443.640903;1422.42483;1449.24672;1398.174592;1437.110032;1429.331266;1387.998969;1507.236477;1374.727219;1378.479952;1420.170287;1382.027897;1360.742876;1437.990415;1422.940744;1420.595851;1374.508876;1410.949736;1427.286028;1452.899352;1397.886897;1402.578965;1420.572494;1391.600053;1465.333229;1432.488521;1374.786047;1409.129336;1401.268942;1388.795226;1431.993202;1468.515134;1411.418762;1361.999492;1438.707701;1419.445067;1404.280887;1382.008271;1389.217454;1429.184905;1409.57362;1442.113622;1467.460533;1384.035113;1413.50062;1396.581455;1423.922137;1425.777522;1382.884785;1409.841828;1388.787121;1423.488787;1451.551532;1389.739007
2120;1513.749092;1448.559848;1486.776402;1488.286798;1500.867084;1503.858712;1418.96854;1471.010243;1479.215478;1506.04705;1471.078532;1467.26596;1490.533536;1443.31504;1482.709294;1526.203971;1451.757669;1482.202844;1520.573951;1453.111993;1493.021572;1490.889307;1511.683795;1456.730175;1464.966981;1512.995298;1530.013219;1480.202104;1439.375245;1480.392203;1489.821211;1553.222684;1495.189231;1467.4612;1449.664058;1451.730491;1465.914808;1477.774338;1468.541055;1496.5728;1477.893906;1537.272996;1538.117551;1481.909585;1516.564442;1432.756393;1533.886361;1499.370906;1544.39493;1462.365139;1490.490999;1503.170896;1463.453725;1490.85085;1423.432707;1500.333784;1490.773525;1496.119193;1436.63959;1531.545947;1488.662378;1481.58865;1488.924422;1492.820026;1497.847471;1541.048726;1463.139268;1482.160516;1440.756575;1484.407877;1472.436709;1516.298778;1500.82549;1461.783639;1478.170999;1480.692559;1481.454509;1491.026782;1479.455357;1478.007261;1545.900472;1480.536085;1506.373121;1493.283022;1484.66717;1526.075203;1518.946522;1490.483664;1503.416885;1419.920102;1438.890981;1480.218816;1459.273593;1517.762361;1518.526111;1467.939025;1505.413232;1463.59624;1487.023147;1473.044298
